ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age
274637,Unmatched: Battle of Legends, Volume One,2019,2,4,40
134726,Smash Up: Awesome Level 9000,2013,2,2,45,12
70512,Luna,2010,1,4,100,12
65532,Defenders of the Realm,2010,1,4,90,13
111799,Cuba Libre,2013,1,4,180,14
21763,Mr. Jack,2006,2,2,30,9
224710,Zombicide: Green Horde,2018,1,6,60,14
160495,ZhanGuo,2014,2,4,120,12
88,Torres,1999,2,4,60,12
126792,Myrmes,2012,2,4,120,13
30380,Cuba,2007,2,5,120,10
3201,Lord of the Rings: The Confrontation,2002,2,2,30,12
232414,Oceans,2020,2,4,90,12
3307,Wallenstein,2002,3,5,150,12
181521,Warhammer Quest: The Adventure Card Game,2015,1,4,60,14
193949,Star Trek: Ascendancy,2016,3,3,180,14
20963,Fury of Dracula (Second Edition),2005,2,5,180,10
150145,Skull King,2013,2,6,30,8
46,Medici,1995,2,6,60,10
203416,Exit: The Game - The Pharaoh's Tomb,2016,1,6,90,12
155624,Specter Ops,2015,2,5,120,13
13004,The Downfall of Pompeii,2004,2,4,45,10
5782,Coloretto,2003,2,5,30,8
173064,Leaving Earth,2015,1,5,180,15
113294,Escape: The Curse of the Temple,2012,1,5,10,8
107529,Kingdom Builder,2011,2,4,45,8
123540,Tokaido,2012,2,5,45,8
100423,Elder Sign,2011,1,8,90,13
162007,Steampunk Rally,2015,2,8,60,14
252328,Star Wars: X-Wing (Second Edition),2018,2,2,45,14
15364,Vegas Showdown,2005,3,5,75,12
171499,Cacao,2015,2,4,45,8
154825,Arkwright,2014,2,4,240,12
586,Up Front,1983,2,3,60,12
213893,Yamataï,2017,2,4,80,13
68425,Eminent Domain,2011,2,4,45,10
9823,Advanced Squad Leader: Starter Kit #1,2004,2,2,120,13
72321,The Networks,2016,1,5,90,13
220,High Society,1995,3,5,30,10
36235,The Duke,2013,2,2,30,13
146278,Tash-Kalar: Arena of Legends,2013,2,4,60,13
245655,The King's Dilemma,2019,3,5,60,14
308765,Praga Caput Regni,2020,1,4,120,12
179803,Arcadia Quest: Inferno,2017,2,4,120,13
168584,Love Letter: Batman,2015,2,4,20,10
143741,BANG! The Dice Game,2013,3,8,15,8
264241,Mandala,2019,2,2,20,10
73761,K2,2010,1,5,60,8
2163,Space Hulk,1989,2,4,45,12
193558,The Oracle of Delphi,2016,2,4,100,12
192457,Cry Havoc,2016,2,4,120,10
699,HeroQuest,1989,2,5,90,14
175095,Dawn of the Zeds (Third Edition),2016,1,5,120,14
232219,Dragon Castle,2017,2,4,45,8
55600,Shipyard,2009,2,4,120,11
242574,Century: Eastern Wonders,2018,2,4,45,8
22345,Yspahan,2006,2,4,60,8
173442,Empires: Age of Discovery,2015,2,6,150,10
258036,Between Two Castles of Mad King Ludwig,2018,2,7,60,10
156336,Onirim (Second Edition),2014,1,2,15,10
31563,Middle-Earth Quest,2009,2,4,180,13
270673,Silver & Gold,2019,2,4,20,8
137988,Zombicide Season 2: Prison Outbreak,2013,1,6,60,13
2955,Mexica,2002,2,4,90,10
143515,Coal Baron,2013,2,4,75,10
